id;name;price;ownerRegistrationNumber;
1;Tampflex;No Description;2331.77;600;
2;Zoolab;;2561.57;10;
3;Stringtough;;1325.44;13;
4;Domainer;;2967.96;74;
5;Ventosanzap;;763.04;71;
6;Zaam-Dox;;4852.19;73;
7;Trippledex;;606.01;35;
8;Stronghold;;1850.61;39;
9;Wrapsafe;;3642.73;10;
10;It;;2325.48;55;
11;Bigtax;;1935.21;82;
12;Vagram;;1591.34;9;
13;Sonsing;;3334.33;21;
14;Zathin;;572.18;86;
15;Otcom;;141.98;13;
16;Greenlam;;676.77;17;
17;Alphazap;;4062.19;80;
18;Subin;;2144.71;60;
19;Andalax;;635.62;52;
20;Aerified;;1611.85;86;
21;Zontrax;;60.04;93;
22;Biodex;;624.35;89;
23;Cardguard;;4350.29;0;
24;Transcof;;2984.14;47;
25;Fintone;;3075.67;42;
26;Temp;;1151.6;73;
27;Mat Lam Tam;;3159.79;33;
28;Voltsillam;;2548.6;16;
29;Konklab;;2725.9;18;
30;Voyatouch;;1706.94;89;
31;Sub-Ex;;2515.5;17;
32;Home Ing;;4995.31;28;
33;Flexidy;;4565.84;12;
34;Viva;;2073.19;72;
35;Stim;;2737.37;22;
36;Duobam;;2040.41;56;
37;Regrant;;2070.2;77;
38;Tres-Zap;;4855.13;10;
39;Lotstring;;2960.98;227;
40;Asoka;;3054.37;921;
41;Pannier;;4187.2;719;
42;Zamit;;4989.79;969;
43;Bitwolf;;3758.67;576;
44;Solarbreeze;;3187.86;737;
45;Cardify;;1185.47;250;
46;Flowdesk;;3931.8;408;
47;Y-find;1922.37;615;
48;Prodder;;2031.77;380;
49;Toughjoyfax;;2985.95;673;
50;Fixflex;;1608.38;660;
51;Gembucket;;737.53;310;
52;Span;;4058.9;311;
53;Ronstring;;4742.77;985;
54;Bytecard;;4199.68;27;
55;Matsoft;;904.59;566;
56;Overhold;;93.87;854;
57;Sonair;;3852.81;697;
58;Lotlux;;1668.55;92;
59;Alpha;;1082.43;920;
60;Holdlamis;;1208.82;406;
61;Daltfresh;;3942.69;971;
62;Tresom;;3674.83;799;
63;Quo Lux;;2653.04;301;
64;Job;;3332.71;201;
65;Tempsoft;;4252.1;411;
66;Veribet;;3045.44;157;
67;Hatity;;2558.83;657;
68;Cookley;;3242;947;
69;Bitchip;;1230.02;182;
70;Opela;;3458.55;210;
71;Treeflex;;2219.17;191;
72;Tin;;4153.7;307;
73;Bamity;;1616.88;309;
74;Rank;;1996.63;322;
75;Konklux;;295.69;71;
76;Kanlam;;1243.21;664;
77;Fix San;;3712.87;139;
78;Redhold;;1622.16;909;
79;Y-Solowarm;;4149.9;399;
80;Namfix;;4040.74;29;
81;Keylex;;3494.43;806;
82;Latlux;;1291.11;365;
83;Bitchip;;4066.28;392;
84;Cookley;;4615.68;439;
85;Tres-Zap;;4592.89;398;
86;Vagram;;3391.93;335;
87;Y-Solowarm;;3793.06;51;
88;Latlux;;1639.26;902;
89;Voyatouch;;2054.46;831;
90;Ventosanzap;;4157.49;3;
91;Andalax;;1640.26;307;
92;Holdlamis;;3301.45;999;
93;Hatity;;4800.49;828;
1165;Java;Description;500;1;
1166;Java 2;Description;800;1;
1167;C# 1;Description;200;1;
1168;C# 2;Description;250;1;
1169;Javascript fondamentaux;Description;150;1;
1170;Javascript Avanc�;Description;200;1;
1171;NodeJs;Description;500;1;
1172;ReactJs;Description;300;1;
1173;ReactNative;Description;400;1;
1174;MongoDB;Description;500;1;
1175;Projet ReactJs + API NodeJs + MongoDb;Description;1000;1;
1176;Redis;Description;200;1;
1177;Javascript JWT;Description;250;1;
